"Empresa compra","Empresa Vende","Año","Mes","Energía Punta","Energía Valle","Energía Noche","Potencia Compra Punta","Potencia Compra Valle","Potencia Compra Noche","Energía Peaje","Tipo","Importe kwh Punta","Importe kwh Valle","Importe kwh Noche","Importe kw Punta","Importe kw Valle","Importe kw Noche","Importe Peaje","Importe Ajustes","Importe Total","Costos CVG","Energía Fuera Punta","Energía kwh Fuera Punta","Planta","Importe kw Fuera Punta","Potencia Fuera Punta","Impuesto IVA"
"COOPERATIVA DE ELECTRIFICACION RURAL DE GUANACASTE R.L.","Consorcio Nacional de Empresas de Electrificación de Costa Rica R.L.","2025","Febrero   ","799769.65","","","","","","","","48602001.69","","","","","","","","177506445.13","","2831819.94","","Central Sigifredo Solís S","128904443.44","",""
"COOPERATIVA DE ELECTRIFICACION RURAL DE SAN CARLOS R.L.","Consorcio Nacional de Empresas de Electrificación de Costa Rica R.L.","2025","Febrero   ","1733618.89","946237.13","1032451.78","","","","","508.72","79295728.21","35446042.995","33069430.506","","","","","","147811201.71","","","","SAN LORENZO","","",""
"COOPERATIVA DE ELECTRIFICACION RURAL DE SAN CARLOS R.L.","Consorcio Nacional de Empresas de Electrificación de Costa Rica R.L.","2025","Febrero   ","1080220.919","2188443.965","1636396.263","","","","","508.72","65645025.25","99617969.269","74488757.874","","","","","","239751752.39","","","","Central Sigifredo Solís S","","",""
"COOPERATIVA DE ELECTRIFICACION RURAL DE SAN CARLOS R.L.","Consorcio Cooperativo Cubujuqui R L ","2025","Febrero   ","2802203.712","3700773.081","1338797.09","","","","","508.72","204560870.98","222046384.85","57568274.878","","","","","","484175530.71","","","","CUBUJUQUÍ","","",""
"COOPERATIVA DE ELECTRIFICACION RURAL DE SAN CARLOS R.L.","Consorcio Cooperativo Cubujuqui R L ","2025","Febrero   ","2335882.597","2978344.811","2283162.175","","","","","508.72","170519429.56","178700688.67","98175973.504","","","","","","447396091.74","","","","DOÑA JULIA","","",""
"COOPERATIVA DE ELECTRIFICACION RURAL LOS SANTOS R.L.","Consorcio Nacional de Empresas de Electrificación de Costa Rica R.L.","2025","Febrero   ","436633.61","","","","","","","","26534224.6","","","","","","","","96909504.19","","1546029.87","","Central Sigifredo Solís S","70375279.59","",""
"COOPERATIVA DE ELECTRIFICACION RURAL DE SAN CARLOS R.L.","Consorcio Nacional de Empresas de Electrificación de Costa Rica R.L.","2025","Enero     ","1123882.99","1637773.95","1709631.45","","","","","510.66","42774413.33","47964422.79","39714607.62","","","","","","130453443.74","","","","SAN LORENZO","","",""
"COOPERATIVA DE ELECTRIFICACION RURAL DE SAN CARLOS R.L.","Consorcio Nacional de Empresas de Electrificación de Costa Rica R.L.","2025","Enero     ","1655993.657","2785516.961","2850173.69","","","","","510.66","100634734.56","126796732.07","129739906.39","","","","","","357171373.01","","","","Central Sigifredo Solís S","","",""
"COOPERATIVA DE ELECTRIFICACION RURAL DE SAN CARLOS R.L.","Consorcio Cooperativo Cubujuqui R L ","2025","Enero     ","3268177.778","5288969.095","3119184.072","","","","","510.66","238576977.78","317338145.7","134124915.08","","","","","","690040038.55","","","","CUBUJUQUÍ","","",""
"COOPERATIVA DE ELECTRIFICACION RURAL DE SAN CARLOS R.L.","Consorcio Cooperativo Cubujuqui R L ","2025","Enero     ","2687895.816","4308788.034","3877527.47","","","","","510.66","196216394.57","258527282.03","166733681.2","","","","","","621477357.79","","","","DOÑA JULIA","","",""
